Iteration-Number,?,correct,incorrect
1,50.000000,25.088800,24.911200
2,49.429450,25.688950,24.881600
3,48.859700,27.577950,23.562350
4,47.799150,33.278400,18.922450
5,46.286650,38.650450,15.062900
6,44.177150,43.634750,12.188100
7,41.814750,47.432250,10.753000
8,39.917900,50.148100,9.934000
9,37.838500,53.050150,9.111350
10,35.857450,55.520650,8.621900
