Board-Size,Steps-To-Solution,Calculation-Time(Millis)
10,2,6,
15,7,12,
20,15,23,
40,74,117,
50,163,269,
60,244,432,
70,381,734,
80,492,1010,
100,725,1724,
110,882,2225,
120,1035,2776,
150,1370,4358,
