Board-Size,Steps-To-Solution,Calculation-Time(Millis)
10,2061,1,
15,1476,1,
20,1056,1,
40,1398,7,
50,1749,12,
60,2073,20,
70,2487,33,
80,3046,51,
100,3834,96,
110,4291,129,
120,4797,168,
150,6119,327,
