Averaged Fitness Value,Standard Deviation value,calculation time(milis)
586.186523,382.674193,9
534.936523,916.695189,8
480.434570,1013.727164,10
425.043945,1230.076194,7
362.841797,1706.572628,8
291.586914,1849.093032,8
226.933594,1796.847153,7
160.463867,1190.165687,9
114.189453,1147.585201,8
114.189453,1147.585201,8
String tested,Total calculation time(milis)
lGPTmRHveSbg,83
