Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
98.808594,55.904770,0.007000,7
97.187500,125.195312,0.004000,4
97.187500,125.195312,0.004000,4
String tested,Total calculation time(milis)
Bi,11
