Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
246.279297,147.191525,0.010000,10
240.375977,343.169188,0.005000,5
229.018555,630.726218,0.006000,6
208.935547,896.132565,0.004000,4
185.063477,1164.937377,0.014000,14
160.375977,1427.544188,0.004000,4
132.294922,1501.178646,0.004000,4
132.294922,1501.178646,0.004000,4
String tested,Total calculation time(milis)
Hello,60
