Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
246.279297,147.191525,0.013000,13
239.697266,366.119289,0.005000,5
223.857422,685.217953,0.004000,4
196.591797,947.661495,0.005000,5
167.631836,1270.807815,0.005000,5
140.585938,1556.687927,0.005000,5
140.585938,1556.687927,0.005000,5
String tested,Total calculation time(milis)
Hello,533
