Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
295.131836,178.595901,0.005000,5
285.986328,429.691219,0.005000,5
267.539062,756.053162,0.004000,4
239.291992,1080.797553,0.003000,3
209.160156,1244.216537,0.005000,5
179.931641,1469.428921,0.004000,4
148.022461,1532.173324,0.003000,3
148.022461,1532.173324,0.003000,3
String tested,Total calculation time(milis)
AIUGFc,622
