Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
196.684570,130.853629,0.013000,13
191.914062,284.422302,0.004000,4
182.490234,525.732327,0.003000,3
166.635742,811.972785,0.004000,4
143.574219,1124.529648,0.005000,5
126.860352,1320.269561,0.017000,17
126.860352,1320.269561,0.017000,17
String tested,Total calculation time(milis)
phsr,54
