Averaged Fitness Value,Standard Deviation value,calculation time(milis)
538.339844,343.337631,9
524.453125,575.384521,6
505.488281,847.613144,6
480.395508,1195.302558,6
455.537109,1351.176357,6
426.611328,1592.813778,6
397.705078,1832.623959,6
367.792969,2013.879013,6
335.229492,2199.361396,5
304.458008,2399.803901,6
273.120117,2571.270728,7
240.629883,2693.206763,5
240.629883,2693.206763,5
String tested,Total calculation time(milis)
wBGDMlOfVTJ,88
